,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,MLP_train,MLP_valid,MLP_mean_error
0,0,5000,20,20,5,0.5,1.0,1.0,0.0,0.9995,0.999,0.0,1.0,0.999,0.0,0.9995,0.999,0.0,1.0,0.999,0.0,0.9995,0.999,0.0,0.9995,0.999,0.0
1,1,5000,20,20,5,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.999,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,2,5000,20,20,5,0.5,1.0,1.0,0.0,0.99975,1.0,0.0,1.0,1.0,0.0,0.99975,1.0,0.0,1.0,1.0,0.0,0.99975,1.0,0.0,0.99975,1.0,0.0
3,3,5000,20,20,5,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.999,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
4,4,5000,20,20,5,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0,0,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1,1,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,2,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3,3,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9995,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
4,4,10000,20,20,10,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.998,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0,0,30000,20,20,30,0.5,1.0,1.0,0.006915752163684592,0.984,0.9806666666666667,0.006376287356257952,1.0,0.8698333333333333,0.16227716042868193,0.780625,0.7768333333333334,0.02068842785612259,0.9966666666666667,0.995,0.006915752163684592,0.9714166666666667,0.9708333333333333,0.006183783071952307,0.9669166666666666,0.9636666666666667,0.0121520812627337
1,1,30000,20,20,30,0.5,1.0,1.0,0.01193492227416184,0.9844583333333333,0.9821666666666666,0.018555751534681454,1.0,0.8816666666666667,0.02239177942929425,0.7892916666666666,0.7851666666666667,0.033379572577732206,0.9969166666666667,0.9951666666666666,0.013831765102900311,0.9736666666666667,0.9695,0.020592285181314104,0.9654583333333333,0.96,0.014031312705117805
2,2,30000,20,20,30,0.5,1.0,1.0,0.00555954336170255,0.9830833333333333,0.9795,0.0059222399965853925,1.0,0.8648333333333333,0.020056409628801203,0.8002916666666666,0.7865,0.02348514345405168,0.9961666666666666,0.9941666666666666,0.00555954336170255,0.9770833333333333,0.9746666666666667,0.004697032192865598,0.9669166666666666,0.9675,0.007253499354140869
